"FDR"	"A1"	"A2"	"A3"	"B1"	"B2"	"B3"	"C1"	"C2"	"C3"	"D1"	"D2"	"D3"
"HPRR4110123"	0.99	0.99	0.99	0.99	0.99	0.99	0	0	0	0	0	0
"HPRR260088"	0.99	0.99	0	0	0	0	0.99	0	0	0	0	0
"HPRR3730024"	0.99	0.99	0.99	0.99	0.99	0.99	0	0	0	0	0	0
"HPRR3730022"	0.99	0.99	0.99	0.99	0.99	0.99	0	0	0	0	0	0
"HPRR4160392"	0.99	0.99	0.99	0.99	0.99	0.99	0	0	0	0	0	0
"HPRR4290990"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290991"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290996"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290997"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290994"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290995"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR3830169"	0.99	0.99	0.99	0.99	0.99	0.99	0	0	0	0	0	0
"HPRR4290998"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4290999"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4050590"	0.99	0.99	0.99	0.99	0.99	0.99	0	0	0	0	0	0
"HPRR3830237"	0	0.99	0.99	0.99	0	0.99	0	0	0	0	0	0
"HPRR2550550"	0.99	0	0.99	0	0	0	0.99	0.99	0.99	0	0	0
"HPRR3720532"	0.99	0.99	0.99	0.99	0.99	0.99	0	0.998529	0	0	0	0
"HPRR4320639"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR3700338"	0.99	0.99	0.99	0.99	0.99	0.99	0	0	0	0	0	0
"HPRR4320637"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320636"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320635"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320634"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320633"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320632"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320631"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320630"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320295"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320294"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320297"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320296"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320291"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320562"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320561"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320560"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320299"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320298"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320569"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320568"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR2310049"	0.99	0.99	0.99	0	0	0	0.99	0.99	0.99	0	0	0
"HPRR4350081"	0.99	0.99	0.99	0.99	0.99	0.99	0	0	0	0	0	0
"HPRR4500051"	0	0	0.99	0.99	0.99	0.99	0	0	0	0	0	0
"HPRR4320181"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320180"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320183"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320182"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320185"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320184"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320187"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320186"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320189"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320188"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320369"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320368"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320361"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR3790306"	0.99	0.99	0.99	0.99	0.99	0.99	0	0	0	0	0	0
"HPRR4320363"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320362"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320365"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320364"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320367"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320366"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320169"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320168"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320163"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320162"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320161"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320160"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320167"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320166"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR4320165"	0	0	0	0	0	0	0	0	0	0	0	0
